Month,EV sales
Jan 2020, 155720.1853531464
Feb 2020, 118020.30274854299
Mar 2020, 199690.29148816786
Apr 2020, 117234.88852761376
May 2020, 153363.9426903587
Jun 2020, 239759.5069925748
Jul 2020, 253111.54874837183
Aug 2020, 249969.8918646549
Sep 2020, 361498.71123660664
Oct 2020, 359927.8827947482
Nov 2020, 432971.40534116724
Dec 2020, 596337.5632944487
Jan 2021, 331294.54790222755
Feb 2021, 281813.45198368555
Mar 2021, 551210.529762414
Apr 2021, 408265.1415532928
May 2021, 467171.20812298567
Jun 2021, 614829.0816576822
Jul 2021, 504871.0907275891
Aug 2021, 551197.4395253985
Sep 2021, 711435.0308319785
Oct 2021, 625039.4665297624
Nov 2021, 756203.6414249451
Dec 2021, 941561.3975642452
Jan 2022, 618756.1527623285
Feb 2022, 561420.9146344942
Mar 2022, 885011.57365734
Apr 2022, 565347.9857391403
May 2022, 727143.3152505633
Jun 2022, 948630.1255526083
Jul 2022, 822963.8502039304