Models,Fuel_usage,Fuel_unit,City_FE,Hwy_FE,Comb_FE
2023.0_Volkswagen Group of_Audi_e-tron GT,Electricity,MPG,81.0,83.0,82.0
2023.0_Volkswagen Group of_Audi_RS e-tron GT,Electricity,MPG,79.0,82.0,81.0
2023.0_Volkswagen Group of_Audi_Q4 e-tron,Electricity,MPG,112.0,94.0,103.0
2023.0_Volkswagen Group of_Audi_e-tron quattro,Electricity,MPG,78.0,79.0,79.0
2023.0_Volkswagen Group of_Audi_e-tron S (20in. wheels),Electricity,MPG,72.0,75.0,73.0
2023.0_Volkswagen Group of_Audi_e-tron S Sportback (20 wheels),Electricity,MPG,73.0,78.0,75.0
2023.0_Volkswagen Group of_Audi_e-tron Sportback quattro,Electricity,MPG,77.0,80.0,78.0
2023.0_Volkswagen Group of_Audi_Q4 e-tron quattro,Electricity,MPG,97.0,87.0,93.0
2023.0_Volkswagen Group of_Audi_Q4 e-tron Sportback,Electricity,MPG,100.0,89.0,95.0
2023.0_BMW_BMW_i4 M50 Gran Coupe (19'' Wheels),Electricity,MPG,94.0,98.0,96.0
2023.0_BMW_BMW_i4 M50 Gran Coupe (20'' Wheels),Electricity,MPG,79.0,80.0,80.0
2023.0_BMW_BMW_i4 eDrive40 Gran Coupe (18'' Wheels),Electricity,MPG,109.0,108.0,109.0
2023.0_BMW_BMW_i7 xDrive60 Sedan (19'' Wheels),Electricity,MPG,87.0,92.0,89.0
2023.0_BMW_BMW_i7 xDrive60 Sedan (20'' Wheels),Electricity,MPG,81.0,85.0,83.0
2023.0_BMW_BMW_i7 xDrive60 Sedan (21'' Wheels),Electricity,MPG,85.0,89.0,87.0
2023.0_BMW_BMW_iX xDrive50 (20'' Wheels),Electricity,MPG,86.0,87.0,86.0
2023.0_BMW_BMW_iX xDrive50 (21'' Wheels),Electricity,MPG,82.0,84.0,83.0
2023.0_BMW_BMW_iX xDrive50 (22'' Wheels),Electricity,MPG,86.0,85.0,86.0
"2023.0_BMW_BMW_iX M60 (21"" Wheels)",Electricity,MPG,76.0,80.0,77.0
"2023.0_BMW_BMW_iX M60 (22"" Wheels)",Electricity,MPG,77.0,80.0,78.0
2023.0_General Motors_Cadillac_LYRIQ,Electricity,MPG,97.0,82.0,89.0
2023.0_General Motors_Chevrolet_BOLT EUV,Electricity,MPG,125.0,104.0,115.0
2023.0_General Motors_Chevrolet_BOLT EV,Electricity,MPG,131.0,109.0,120.0
2023.0_Ford Motor Company_Ford_F150 LIGHTNING EXTENDED RNG 4WD,Electricity,MPG,78.0,63.0,70.0
2023.0_Ford Motor Company_Ford_F150 LIGHTNING PLATINUM 4WD,Electricity,MPG,73.0,60.0,66.0
2023.0_Ford Motor Company_Ford_F150 PICKUP LIGHTNING 4WD,Electricity,MPG,76.0,61.0,68.0
2023.0_Hyundai_GENESIS_Electrified G80,Electricity,MPG,105.0,89.0,97.0
2023.0_Hyundai_GENESIS_GV60 ADVANCE,Electricity,MPG,103.0,86.0,95.0
2023.0_Hyundai_GENESIS_GV60 PERFORMANCE,Electricity,MPG,97.0,82.0,90.0
2023.0_Hyundai_HYUNDAI MOTOR COMPANY_Kona Electric,Electricity,MPG,134.0,106.0,120.0
2023.0_Jaguar Land Rover L_Jaguar_I-PACE EV400 (20 inch tires),Electricity,MPG,89.0,82.0,85.0
2023.0_Jaguar Land Rover L_Jaguar_I-PACE EV400 (22 inch tire),Electricity,MPG,79.0,72.0,76.0
2023.0_Kia_KIA_EV6 AWD GT,Electricity,MPG,85.0,74.0,79.0
2023.0_Kia_KIA_EV6 Long Range AWD (19inch tire),Electricity,MPG,120.0,98.0,109.0
2023.0_Kia_KIA_EV6 Long Range AWD (20inch tire),Electricity,MPG,106.0,86.0,96.0
2023.0_Kia_KIA_EV6 Long Range RWD,Electricity,MPG,134.0,101.0,117.0
2023.0_Kia_KIA_EV6 Standard Range RWD,Electricity,MPG,136.0,100.0,117.0
2023.0_Kia_KIA_Niro Electric,Electricity,MPG,126.0,101.0,113.0
"2023.0_Lucid USA, Inc_Lucid USA Inc._Air G Touring XR AWD w/19"" wheels",Electricity,MPG,130.0,132.0,131.0
"2023.0_Lucid USA, Inc_Lucid USA Inc._Air G Touring XR AWD w/20"" wheels",Electricity,MPG,121.0,122.0,121.0
"2023.0_Lucid USA, Inc_Lucid USA Inc._Air G Touring XR AWD w/21"" wheels",Electricity,MPG,121.0,122.0,121.0
"2023.0_Lucid USA, Inc_Lucid USA Inc._Air GT P AWD w/21"" wheels",Electricity,MPG,110.0,111.0,111.0
"2023.0_Lucid USA, Inc_Lucid USA Inc._Air Pure AWD w/19"" wheels",Electricity,MPG,141.0,140.0,140.0
"2023.0_Lucid USA, Inc_Lucid USA Inc._Air Pure AWD w/20"" wheels",Electricity,MPG,121.0,120.0,121.0
"2023.0_Lucid USA, Inc_Lucid USA Inc._Air Touring AWD w/19"" wheels",Electricity,MPG,141.0,140.0,140.0
"2023.0_Lucid USA, Inc_Lucid USA Inc._Air Touring AWD w/20"" wheels",Electricity,MPG,121.0,120.0,121.0
"2023.0_Lucid USA, Inc_Lucid USA Inc._Air Touring AWD w/21"" wheels",Electricity,MPG,121.0,120.0,121.0
2023.0_Mercedes-Benz_Mercedes-Benz_EQS 450 4MATIC,Electricity,MPG,101.0,105.0,103.0
2023.0_Mercedes-Benz_Mercedes-Benz_EQS 450 4MATIC (SUV),Electricity,MPG,79.0,77.0,78.0
2023.0_Mercedes-Benz_Mercedes-Benz_EQS 450+ (SUV),Electricity,MPG,87.0,83.0,85.0
2023.0_Mercedes-Benz_Mercedes-Benz_EQS 580 4MATIC (SUV),Electricity,MPG,79.0,74.0,77.0
2023.0_BMW_Mini_COOPER SE HARDTOP 2 DOOR,Electricity,MPG,119.0,100.0,110.0
2023.0_Nissan_NISSAN_ARIYA ENGAGE FWD 63kWh,Electricity,MPG,109.0,94.0,101.0
2023.0_Nissan_NISSAN_ARIYA EVO+/EMP+/PRM FWD 87kWh,Electricity,MPG,105.0,91.0,98.0
2023.0_Nissan_NISSAN_ARIYA VENTURE+ FWD 87kWh,Electricity,MPG,111.0,95.0,103.0
2023.0_Nissan_NISSAN_LEAF,Electricity,MPG,123.0,99.0,111.0
2023.0_Nissan_NISSAN_LEAF SV,Electricity,MPG,121.0,98.0,109.0
2023.0_Porsche_Porsche_Taycan 4 Cross Turismo,Electricity,MPG,80.0,80.0,80.0
2023.0_Porsche_Porsche_Taycan 4S Cross Turismo,Electricity,MPG,78.0,78.0,78.0
2023.0_Porsche_Porsche_Taycan 4S Perf Battery Plus,Electricity,MPG,79.0,81.0,80.0
2023.0_Porsche_Porsche_Taycan 4S Performance Battery,Electricity,MPG,82.0,82.0,82.0
2023.0_Porsche_Porsche_Taycan GTS,Electricity,MPG,83.0,82.0,83.0
2023.0_Porsche_Porsche_Taycan GTS Sport Turismo,Electricity,MPG,80.0,80.0,80.0
2023.0_Porsche_Porsche_Taycan Perf Battery Plus,Electricity,MPG,78.0,88.0,82.0
2023.0_Porsche_Porsche_Taycan Performance Battery,Electricity,MPG,79.0,88.0,83.0
2023.0_Porsche_Porsche_Taycan Turbo,Electricity,MPG,81.0,80.0,81.0
2023.0_Porsche_Porsche_Taycan Turbo Cross Turismo,Electricity,MPG,80.0,78.0,79.0
2023.0_Porsche_Porsche_Taycan Turbo S,Electricity,MPG,76.0,74.0,75.0
2023.0_Porsche_Porsche_Taycan Turbo S Cross Turismo,Electricity,MPG,76.0,74.0,75.0
2023.0_Rivian Automotive L_Rivian_R1T 20in,Electricity,MPG,69.0,60.0,64.0
2023.0_Rivian Automotive L_Rivian_R1T 21in,Electricity,MPG,76.0,69.0,73.0
2023.0_Rivian Automotive L_Rivian_R1T 22in,Electricity,MPG,73.0,63.0,68.0
2023.0_Rivian Automotive L_Rivian_R1S 20in,Electricity,MPG,69.0,60.0,64.0
2023.0_Rivian Automotive L_Rivian_R1S 21in,Electricity,MPG,75.0,66.0,71.0
2023.0_Rivian Automotive L_Rivian_R1S 22in,Electricity,MPG,73.0,63.0,68.0
2023.0_Tesla_Tesla Motors_Model 3 Long Range AWD,Electricity,MPG,134.0,126.0,131.0
2023.0_Tesla_Tesla Motors_Model 3 Performance AWD,Electricity,MPG,118.0,107.0,113.0
2023.0_Tesla_Tesla Motors_Model 3 RWD,Electricity,MPG,138.0,126.0,132.0
2023.0_Tesla_Tesla Motors_Model S,Electricity,MPG,124.0,115.0,120.0
2023.0_Tesla_Tesla Motors_Model X,Electricity,MPG,107.0,97.0,102.0
"2023.0_Tesla_Tesla Motors_Model X Plaid (20"" Wheels)",Electricity,MPG,103.0,93.0,98.0
"2023.0_Tesla_Tesla Motors_Model X Plaid (22"" Wheels)",Electricity,MPG,94.0,88.0,91.0
2023.0_Tesla_Tesla Motors_Model Y AWD,Electricity,MPG,129.0,116.0,123.0
2023.0_Tesla_Tesla Motors_Model Y Long Range AWD,Electricity,MPG,127.0,117.0,122.0
2023.0_Tesla_Tesla Motors_Model Y Performance AWD,Electricity,MPG,115.0,106.0,111.0
2023.0_Volvo_Polestar Automotive USA Inc_Polestar 2 BST edition,Electricity,MPG,98.0,91.0,96.0
2023.0_Volvo_Polestar Automotive USA Inc_Polestar 2 Dual Motor,Electricity,MPG,105.0,96.0,100.0
2023.0_Volvo_Polestar Automotive USA Inc_Polestar 2 Dual Motor Perf Pack,Electricity,MPG,105.0,96.0,100.0
2023.0_Volvo_Polestar Automotive USA Inc_Polestar 2 Single Motor,Electricity,MPG,113.0,100.0,107.0
2023.0_Subaru_Subaru_SOLTERRA AWD,Electricity,MPG,114.0,94.0,104.0
2023.0_Subaru_Subaru_SOLTERRA LIMITED / TOURING AWD,Electricity,MPG,111.0,93.0,102.0
2023.0_Toyota_TOYOTA_bZ4X,Electricity,MPG,131.0,107.0,119.0
2023.0_Toyota_TOYOTA_bZ4X LIMITED,Electricity,MPG,125.0,103.0,114.0
2023.0_Toyota_TOYOTA_bZ4X AWD,Electricity,MPG,114.0,94.0,104.0
2023.0_Toyota_TOYOTA_bZ4X LIMITED AWD,Electricity,MPG,112.0,92.0,102.0
2023.0_Volkswagen Group of_Volkswagen_ID.4,Electricity,MPG,115.0,99.0,107.0
2023.0_Volkswagen Group of_Volkswagen_ID.4 AWD Pro,Electricity,MPG,104.0,93.0,99.0
2023.0_Volkswagen Group of_Volkswagen_ID.4 AWD Pro S,Electricity,MPG,104.0,93.0,99.0
2023.0_Volkswagen Group of_Volkswagen_ID.4 Pro,Electricity,MPG,115.0,98.0,107.0
2023.0_Volkswagen Group of_Volkswagen_ID.4 Pro S,Electricity,MPG,115.0,98.0,107.0
2023.0_Volkswagen Group of_Volkswagen_ID.4 S,Electricity,MPG,115.0,99.0,107.0
"2023.0_Volvo_Volvo Cars of North America, LLC_C40 Recharge twin",Electricity,MPG,94.0,80.0,87.0
"2023.0_Volvo_Volvo Cars of North America, LLC_XC40 Recharge twin",Electricity,MPG,92.0,79.0,85.0
2023_Aston Martin Lagonda Ltd_V12 Vantage,Gasoline,MPG,14.0,22.0,16.0
2023_Aston Martin Lagonda Ltd_Vantage V8,Gasoline,MPG,18.0,24.0,20.0
2023_Audi_R8 Coupe quattro,Gasoline,MPG,13.0,18.0,15.0
2023_Audi_R8 Coupe RWD,Gasoline,MPG,14.0,23.0,17.0
2023_Audi_R8 GT RWD,Gasoline,MPG,14.0,21.0,17.0
2023_Audi_R8 Spyder quattro,Gasoline,MPG,13.0,18.0,15.0
2023_Audi_R8 Spyder RWD,Gasoline,MPG,14.0,23.0,17.0
2023_Audi_TT Roadster,Gasoline,MPG,23.0,30.0,25.0
2023_BMW_Z4 M40i,Gasoline,MPG,23.0,31.0,26.0
2023_BMW_Z4 sDrive30i,Gasoline,MPG,25.0,33.0,28.0
2023_Bugatti_Chiron,Gasoline,MPG,9.0,14.0,11.0
2023_Bugatti_Chiron Pur Sport,Gasoline,MPG,8.0,11.0,9.0
2023_Bugatti_Chiron Super Sport,Gasoline,MPG,8.0,11.0,9.0
2023_Chevrolet_CORVETTE,Gasoline,MPG,16.0,24.0,19.0
2023_Chevrolet_CORVETTE Z06,Gasoline,MPG,12.0,21.0,15.0
2023_Chevrolet_CORVETTE Z06 CARBON AERO,Gasoline,MPG,12.0,19.0,14.0
"2023_Ferrari North America, Inc._812 Competizione",Gasoline,MPG,12.0,16.0,14.0
"2023_Ferrari North America, Inc._812 Competizione A",Gasoline,MPG,12.0,16.0,14.0
"2023_Ferrari North America, Inc._812 GTS",Gasoline,MPG,12.0,15.0,13.0
"2023_Ferrari North America, Inc._F8 Spider",Gasoline,MPG,15.0,18.0,16.0
"2023_Ferrari North America, Inc._F8 Tributo",Gasoline,MPG,15.0,19.0,16.0
"2023_Ferrari North America, Inc._Ferrari Daytona SP3",Gasoline,MPG,12.0,16.0,13.0
"2023_Ferrari North America, Inc._Ferrari Monza SP1",Gasoline,MPG,12.0,15.0,13.0
"2023_Ferrari North America, Inc._Ferrari Monza SP2",Gasoline,MPG,12.0,15.0,13.0
2023_Jaguar_F-TYPE P450 AWD R-Dynamic Conv,Gasoline,MPG,16.0,24.0,18.0
2023_Jaguar_F-TYPE P450 AWD R-Dynamic Coupe,Gasoline,MPG,16.0,24.0,18.0
2023_Jaguar_F-TYPE P450 RWD Convertible,Gasoline,MPG,17.0,24.0,19.0
2023_Jaguar_F-TYPE P450 RWD Coupe,Gasoline,MPG,17.0,24.0,19.0
2023_Jaguar_F-TYPE R AWD Convertible,Gasoline,MPG,16.0,24.0,18.0
2023_Jaguar_F-TYPE R AWD Coupe,Gasoline,MPG,16.0,24.0,18.0
2023_Lamborghini_Huracan Coupe,Gasoline,MPG,13.0,18.0,15.0
2023_Lamborghini_Huracan Coupe 2WD,Gasoline,MPG,13.0,18.0,15.0
2023_Lamborghini_Huracan Spyder,Gasoline,MPG,13.0,18.0,15.0
2023_Lamborghini_Huracan Spyder 2WD,Gasoline,MPG,13.0,18.0,15.0
2023_MASERATI_MC20,Gasoline,MPG,15.0,25.0,18.0
2023_MASERATI_MC20 Spyder,Gasoline,MPG,15.0,25.0,18.0
2023_MAZDA_MX-5,Gasoline,MPG,26.0,35.0,30.0
2023_MAZDA_MX-5,Gasoline,MPG,26.0,34.0,29.0
2023_NISSAN_Z,Gasoline,MPG,19.0,28.0,22.0
2023_NISSAN_Z,Gasoline,MPG,18.0,24.0,20.0
2023_Porsche_718 Boxster,Gasoline,MPG,21.0,27.0,24.0
2023_Porsche_718 Boxster,Gasoline,MPG,20.0,25.0,22.0
2023_Porsche_718 Boxster GTS 4.0,Gasoline,MPG,19.0,24.0,21.0
2023_Porsche_718 Boxster GTS 4.0,Gasoline,MPG,17.0,24.0,19.0
2023_Porsche_718 Boxster S,Gasoline,MPG,19.0,25.0,22.0
2023_Porsche_718 Boxster S,Gasoline,MPG,19.0,24.0,21.0
2023_Porsche_718 Boxster T,Gasoline,MPG,21.0,27.0,23.0
2023_Porsche_718 Boxster T,Gasoline,MPG,20.0,26.0,22.0
2023_Porsche_718 Cayman,Gasoline,MPG,21.0,27.0,24.0
2023_Porsche_718 Cayman,Gasoline,MPG,20.0,25.0,22.0
2023_Porsche_718 Cayman GT4,Gasoline,MPG,18.0,24.0,20.0
2023_Porsche_718 Cayman GT4,Gasoline,MPG,17.0,23.0,19.0
2023_Porsche_718 Cayman GTS 4.0,Gasoline,MPG,19.0,24.0,21.0
2023_Porsche_718 Cayman GTS 4.0,Gasoline,MPG,17.0,24.0,19.0
2023_Porsche_718 Cayman S,Gasoline,MPG,19.0,25.0,22.0
2023_Porsche_718 Cayman S,Gasoline,MPG,19.0,24.0,21.0
2023_Porsche_718 Cayman T,Gasoline,MPG,21.0,27.0,23.0
2023_Porsche_718 Cayman T,Gasoline,MPG,20.0,26.0,22.0
2023_Porsche_718 GT4 RS,Gasoline,MPG,15.0,19.0,16.0
2023_Porsche_718 Spyder,Gasoline,MPG,18.0,24.0,20.0
2023_Porsche_718 Spyder,Gasoline,MPG,17.0,23.0,19.0
2023_Porsche_911 GT3,Gasoline,MPG,15.0,18.0,16.0
2023_Porsche_911 GT3,Gasoline,MPG,14.0,18.0,16.0
2023_Porsche_911 GT3 Touring,Gasoline,MPG,15.0,18.0,16.0
2023_Porsche_911 GT3 Touring,Gasoline,MPG,14.0,18.0,16.0
2023_TOYOTA_Supra 2.0,Gasoline,MPG,25.0,31.0,27.0
2023_TOYOTA_Supra 3.0,Gasoline,MPG,23.0,31.0,26.0
2023_TOYOTA_Supra 3.0,Gasoline,MPG,19.0,27.0,21.0
2023_Aston Martin Lagonda Ltd_DB11 V12,Gasoline,MPG,14.0,22.0,17.0
2023_Aston Martin Lagonda Ltd_DB11 V8,Gasoline,MPG,18.0,24.0,20.0
2023_Aston Martin Lagonda Ltd_DBS,Gasoline,MPG,14.0,22.0,17.0
2023_Bentley_Continental GT Convertible,Gasoline,MPG,15.0,22.0,18.0
2023_Bentley_Continental GT Convertible Speed,Gasoline,MPG,12.0,18.0,14.0
"2023_Ferrari North America, Inc._Portofino M",Gasoline,MPG,16.0,23.0,19.0
2023_LEXUS_LC 500 CONVERTIBLE,Gasoline,MPG,15.0,25.0,18.0
2023_Mini_COOPER CONVERTIBLE,Gasoline,MPG,29.0,38.0,32.0
2023_Mini_COOPER CONVERTIBLE,Gasoline,MPG,27.0,37.0,31.0
2023_Mini_COOPER S CONVERTIBLE,Gasoline,MPG,27.0,36.0,30.0
2023_Mini_COOPER S CONVERTIBLE,Gasoline,MPG,23.0,33.0,27.0
2023_Mini_JOHN COOPER WORKS CONVERTIBLE,Gasoline,MPG,24.0,33.0,27.0
2023_Porsche_911 Carrera,Gasoline,MPG,18.0,24.0,20.0
2023_Porsche_911 Carrera 4,Gasoline,MPG,18.0,24.0,20.0
2023_Porsche_911 Carrera 4 Cabriolet,Gasoline,MPG,18.0,24.0,20.0
2023_Porsche_911 Carrera 4 GTS,Gasoline,MPG,17.0,23.0,19.0
2023_Porsche_911 Carrera 4 GTS,Gasoline,MPG,17.0,23.0,19.0
2023_Porsche_911 Carrera 4 GTS Cabriolet,Gasoline,MPG,17.0,22.0,19.0
2023_Porsche_911 Carrera 4 GTS Cabriolet,Gasoline,MPG,16.0,23.0,19.0
2023_Porsche_911 Carrera 4S,Gasoline,MPG,18.0,23.0,20.0
2023_Porsche_911 Carrera 4S,Gasoline,MPG,17.0,25.0,20.0
2023_Porsche_911 Carrera 4S Cabriolet,Gasoline,MPG,18.0,23.0,20.0
2023_Porsche_911 Carrera 4S Cabriolet,Gasoline,MPG,17.0,24.0,20.0
2023_Porsche_911 Carrera Cabriolet,Gasoline,MPG,18.0,24.0,20.0
2023_Porsche_911 Carrera GTS,Gasoline,MPG,17.0,23.0,19.0
2023_Porsche_911 Carrera GTS,Gasoline,MPG,17.0,24.0,20.0
2023_Porsche_911 Carrera GTS Cabriolet,Gasoline,MPG,17.0,23.0,19.0
2023_Porsche_911 Carrera GTS Cabriolet,Gasoline,MPG,17.0,24.0,20.0
2023_Porsche_911 Carrera S,Gasoline,MPG,18.0,23.0,20.0
2023_Porsche_911 Carrera S,Gasoline,MPG,18.0,25.0,21.0
2023_Porsche_911 Carrera S Cabriolet,Gasoline,MPG,18.0,23.0,20.0
2023_Porsche_911 Carrera S Cabriolet,Gasoline,MPG,17.0,25.0,20.0
2023_Porsche_911 Sport Classic,Gasoline,MPG,15.0,21.0,17.0
2023_Porsche_911 Targa 4,Gasoline,MPG,18.0,24.0,20.0
2023_Porsche_911 Targa 4 GTS,Gasoline,MPG,17.0,22.0,19.0
2023_Porsche_911 Targa 4 GTS,Gasoline,MPG,16.0,23.0,19.0
2023_Porsche_911 Targa 4S,Gasoline,MPG,18.0,23.0,20.0
2023_Porsche_911 Targa 4S,Gasoline,MPG,17.0,24.0,20.0
2023_Porsche_911 Turbo,Gasoline,MPG,15.0,20.0,17.0
2023_Porsche_911 Turbo Cabriolet,Gasoline,MPG,15.0,20.0,17.0
2023_Porsche_911 Turbo S,Gasoline,MPG,15.0,20.0,17.0
2023_Porsche_911 Turbo S Cabriolet,Gasoline,MPG,15.0,20.0,17.0
2023_Subaru_BRZ,Gasoline,MPG,21.0,30.0,25.0
2023_Subaru_BRZ,Gasoline,MPG,20.0,27.0,22.0
2023_TOYOTA_GR86,Gasoline,MPG,21.0,31.0,25.0
2023_TOYOTA_GR86,Gasoline,MPG,20.0,27.0,22.0
2023_Audi_A3,Gasoline,MPG,28.0,38.0,32.0
2023_Audi_A3 quattro,Gasoline,MPG,27.0,35.0,30.0
2023_Audi_A5 Cabriolet quattro,Gasoline,MPG,24.0,31.0,26.0
2023_Audi_A5 Coupe quattro,Gasoline,MPG,24.0,32.0,27.0
2023_Audi_RS5 Coupe,Gasoline,MPG,18.0,26.0,21.0
2023_Audi_S3,Gasoline,MPG,23.0,32.0,26.0
2023_Audi_S5 Cabriolet,Gasoline,MPG,21.0,28.0,23.0
2023_Audi_S5 Coupe,Gasoline,MPG,21.0,30.0,24.0
2023_Audi_TT Coupe,Gasoline,MPG,23.0,30.0,25.0
2023_Audi_TTS Coupe,Gasoline,MPG,23.0,31.0,26.0
2023_Bentley_Continental GT,Gasoline,MPG,15.0,23.0,18.0
2023_Bentley_Continental GT Speed,Gasoline,MPG,12.0,20.0,15.0
2023_BMW_230i Coupe,Gasoline,MPG,26.0,35.0,29.0
2023_BMW_230i xDrive Coupe,Gasoline,MPG,24.0,34.0,28.0
2023_BMW_430i Convertible,Gasoline,MPG,25.0,34.0,28.0
2023_BMW_430i Coupe,Gasoline,MPG,25.0,34.0,28.0
2023_BMW_430i xDrive Convertible,Gasoline,MPG,23.0,33.0,27.0
2023_BMW_430i xDrive Coupe,Gasoline,MPG,23.0,33.0,27.0
2023_BMW_840i Convertible,Gasoline,MPG,21.0,29.0,24.0
2023_BMW_840i Coupe,Gasoline,MPG,21.0,29.0,24.0
2023_BMW_840i xDrive Convertible,Gasoline,MPG,21.0,29.0,24.0
2023_BMW_840i xDrive Coupe,Gasoline,MPG,21.0,29.0,24.0
2023_BMW_M2 Coupe,Gasoline,MPG,16.0,23.0,19.0
2023_BMW_M2 Coupe,Gasoline,MPG,16.0,24.0,19.0
2023_BMW_M240i Coupe,Gasoline,MPG,22.0,32.0,26.0
2023_BMW_M240i xDrive Coupe,Gasoline,MPG,23.0,32.0,26.0
2023_BMW_M4 Competition Coupe,Gasoline,MPG,16.0,23.0,19.0
2023_BMW_M4 Competition M xDrive Coupe,Gasoline,MPG,16.0,22.0,18.0
2023_BMW_M4 Coupe,Gasoline,MPG,16.0,23.0,19.0
2023_BMW_M4 CSL Coupe,Gasoline,MPG,16.0,23.0,18.0
2023_BMW_M440i Convertible,Gasoline,MPG,23.0,31.0,26.0
2023_BMW_M440i Coupe,Gasoline,MPG,24.0,32.0,27.0
2023_BMW_M440i xDrive Convertible,Gasoline,MPG,22.0,31.0,25.0
2023_BMW_M440i xDrive Coupe,Gasoline,MPG,22.0,31.0,25.0
2023_BMW_M4CompetitionMxDriveConvertible,Gasoline,MPG,16.0,23.0,18.0
2023_BMW_M8 Competition Convertible,Gasoline,MPG,15.0,22.0,17.0
2023_BMW_M8 Competition Coupe,Gasoline,MPG,15.0,22.0,17.0
2023_BMW_M850i xDrive Convertible,Gasoline,MPG,17.0,24.0,19.0
2023_BMW_M850i xDrive Coupe,Gasoline,MPG,17.0,24.0,19.0
2023_Chevrolet_CAMARO,Gasoline,MPG,22.0,30.0,25.0
